track_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Artist
drivers license,1,2021,1,8,12685,3,1858144199.0,185,61,485.0,0,2.0,144,A#,Major,59,21,43,76,0,10,7,Olivia Rodrigo
family ties (with Kendrick Lamar),2,2021,8,27,6308,5,560222750.0,114,15,63.0,0,2.0,134,C#,Major,71,14,61,1,0,23,33,Kendrick Lamar
family ties (with Kendrick Lamar),2,2021,8,27,6308,5,560222750.0,114,15,63.0,0,2.0,134,C#,Major,71,14,61,1,0,23,33,Baby Keem
favorite crime,1,2021,5,21,3681,0,783706581.0,20,21,99.0,0,7.0,173,A,Major,40,19,29,86,0,34,4,Olivia Rodrigo
fukumean,1,2023,5,15,1096,83,95217315.0,60,210,48.0,11,953.0,130,C#,Minor,85,22,62,12,0,28,9,Gunna
golden hour,1,2022,7,15,4511,36,751134527.0,70,58,109.0,18,230.0,94,C#,Minor,51,14,59,65,18,25,3,JVKE
good 4 u,1,2021,5,14,15563,6,1887039593.0,259,55,461.0,1,2.0,166,F#,Minor,56,68,66,28,0,11,18,Olivia Rodrigo
happier,1,2021,5,21,3069,4,850608354.0,25,46,105.0,0,45.0,169,F#,Major,39,36,45,81,0,8,13,Olivia Rodrigo
"jealousy, jealousy",1,2021,5,21,3257,0,665765558.0,10,0,70.0,0,0.0,164,A#,Minor,70,71,58,24,0,7,13,Olivia Rodrigo
love nwantiti (ah ah ah),1,2019,7,26,5669,2,726837877.0,74,0,262.0,14,2.0,93,F,Minor,74,53,73,61,0,13,4,Ckay
lovely - Bonus Track,2,2017,8,11,15032,30,2355719893.0,221,96,36.0,2,136.0,115,E,Minor,35,12,30,93,0,10,3,Billie Eilish
lovely - Bonus Track,2,2017,8,11,15032,30,2355719893.0,221,96,36.0,2,136.0,115,E,Minor,35,12,30,93,0,10,3,Khalid
on the street (with J. Cole),2,2023,3,3,615,2,116599790.0,22,82,8.0,0,9.0,94,B,Minor,68,81,82,53,0,9,13,j-hope
on the street (with J. Cole),2,2023,3,3,615,2,116599790.0,22,82,8.0,0,9.0,94,B,Minor,68,81,82,53,0,9,13,J. Cole
positions,1,2020,10,23,8207,0,1252563873.0,175,55,95.0,0,2.0,144,C#,Major,73,66,80,44,0,9,12,Ariana Grande
psychofreak (feat. WILLOW),2,2022,4,7,918,0,75476209.0,24,0,52.0,0,0.0,180,G,Minor,63,45,64,34,0,9,8,Camila Cabello
psychofreak (feat. WILLOW),2,2022,4,7,918,0,75476209.0,24,0,52.0,0,0.0,180,G,Minor,63,45,64,34,0,9,8,Willow
pushin P (feat. Young Thug),3,2022,1,7,3517,0,311395144.0,54,28,43.0,0,0.0,78,C#,Minor,77,49,42,1,1,13,19,Young Thug
pushin P (feat. Young Thug),3,2022,1,7,3517,0,311395144.0,54,28,43.0,0,0.0,78,C#,Minor,77,49,42,1,1,13,19,Future
pushin P (feat. Young Thug),3,2022,1,7,3517,0,311395144.0,54,28,43.0,0,0.0,78,C#,Minor,77,49,42,1,1,13,19,Gunna
sentaDONA (Remix) s2,4,2022,3,17,870,0,176290831.0,32,0,49.0,0,0.0,135,D#,Minor,93,77,45,25,0,13,27,Luï¿½ï¿½sa Sonza
sentaDONA (Remix) s2,4,2022,3,17,870,0,176290831.0,32,0,49.0,0,0.0,135,D#,Minor,93,77,45,25,0,13,27,MC Frog
sentaDONA (Remix) s2,4,2022,3,17,870,0,176290831.0,32,0,49.0,0,0.0,135,D#,Minor,93,77,45,25,0,13,27,Dj Gabriel do Borel
sentaDONA (Remix) s2,4,2022,3,17,870,0,176290831.0,32,0,49.0,0,0.0,135,D#,Minor,93,77,45,25,0,13,27,Davi K
she's all i wanna be,1,2022,2,4,2711,0,343197054.0,105,12,51.0,0,12.0,160,D,Minor,61,65,64,1,0,12,4,Tate McRae
this is what falling in love feels like,1,2021,9,3,2005,0,346127840.0,16,5,43.0,0,7.0,129,B,Major,42,33,44,62,0,8,6,JVKE
thought i was playing,2,2022,1,7,807,0,60680939.0,3,0,5.0,0,0.0,148,C#,Major,68,29,73,0,0,7,7,21 Savage
